Id,Received_Amount__c
a0FHp00000zy6s5MAA,28659.96
a0FHp00000zy6s6MAA,28289.09
a0FHp00000zy6s7MAA,28630.16
a0FHp00000zy6s8MAA,28659.96
a0FHp00000zy6s9MAA,28659.96
a0FHp00000zy6sAMAQ,28659.96
a0FHp00000zy6sBMAQ,28659.96
a0FHp00000zy6sCMAQ,28659.96
a0FHp00000zy6sDMAQ,28659.96
a0FHp00000zy6sEMAQ,28659.96
a0FHp00000zy6sFMAQ,28659.96
a0FHp00000zy6sGMAQ,28659.96
a0FHp00000zy6sHMAQ,28659.96
a0FHp00000zy6sIMAQ,
a0FHp00000zy6sJMAQ,
a0FHp00000zy6sKMAQ,
a0FHp00000zy6sLMAQ,
a0FHp00000zy6sMMAQ,
a0FHp00000zy6sNMAQ,
a0FHp00000zy6sOMAQ,
a0FHp00000zy6sPMAQ,
a0FHp00000zy6sQMAQ,
a0FHp00000zy6sRMAQ,
a0FHp00000zy6sSMAQ,
a0FHp00000zy6sTMAQ,
a0FHp00000zy6sUMAQ,
a0FHp00000zy6sVMAQ,
a0FHp00000zy6sWMAQ,
a0FHp00000zy6sXMAQ,
a0FHp00000zy6sYMAQ,
a0FHp00000zy6sZMAQ,
a0FHp00000zy6saMAA,
a0FHp00000zy6sbMAA,
a0FHp00000zy6scMAA,
a0FHp00000zy6sdMAA,
a0FHp00000zy6seMAA,
a0FHp00000zy6sfMAA,
a0FHp00000zy6sgMAA,
a0FHp00000zy6shMAA,
a0FHp00000zy6siMAA,
a0FHp00000zy6sjMAA,
a0FHp00000zy6skMAA,
a0FHp00000zy6slMAA,
a0FHp00000zy6smMAA,
a0FHp00000zy6snMAA,
a0FHp00000zy6soMAA,
a0FHp00000zy6spMAA,
a0FHp00000zy6sqMAA,
a0FHp00000zy6srMAA,
a0FHp00000zy6ssMAA,30159.02
a0FHp00000zy6stMAA,30159.02
a0FHp00000zy6suMAA,30159.02
a0FHp00000zy6svMAA,30159.02
a0FHp00000zy6swMAA,30159.02
a0FHp00000zy6sxMAA,30159.02
a0FHp00000zy6syMAA,30159.02
a0FHp00000zy6szMAA,30159.02
a0FHp00000zy6t0MAA,30159.02
a0FHp00000zy6t1MAA,30159.02
a0FHp00000zy6t2MAA,30159.02
a0FHp00000zy6t3MAA,30159.02
a0FHp00000zy6t4MAA,30159.02
a0FHp00000zy6t5MAA,30159.02
a0FHp00000zy6t6MAA,30159.02
a0FHp00000zy6t7MAA,30159.02
a0FHp00000zy6t8MAA,30159.02
a0FHp00000zy6t9MAA,30159.02
a0FHp00000zy6tAMAQ,30159.02
a0FHp00000zy6tBMAQ,22.56
a0FHp00000zy6tCMAQ,
a0FHp00000zy6tDMAQ,
a0FHp00000zy6tEMAQ,
a0FHp00000zy6tFMAQ,
a0FHp00000zy6tGMAQ,
a0FHp00000zy6tHMAQ,
a0FHp00000zy6tIMAQ,
a0FHp00000zy6tJMAQ,
a0FHp00000zy6tKMAQ,
a0FHp00000zy6tLMAQ,
a0FHp00000zy6tMMAQ,
a0FHp00000zy6tNMAQ,
a0FHp00000zy6tOMAQ,
a0FHp00000zy6tPMAQ,
a0FHp00000zy6tQMAQ,
a0FHp00000zy6tRMAQ,
a0FHp00000zy6tSMAQ,
a0FHp00000zy6tTMAQ,
a0FHp00000zy6tUMAQ,
a0FHp00000zy6tVMAQ,
a0FHp00000zy6tWMAQ,
